product_name,sku,brand,price,quantity,width,height,length,weight,weight_based_shipping - bay of plenty_delivery,weight_based_shipping - waikato_delivery,weight_based_shipping - hawke's bay_delivery,weight_based_shipping - taranaki_delivery,"weight_based_shipping - thames, coromandel_delivery",weight_based_shipping - auckland (from silverdale to pokeno)_delivery,weight_based_shipping - waiheke_delivery,weight_based_shipping - northland (others)_delivery,"weight_based_shipping -  northland (mangawhai, whangarei)_delivery",weight_based_shipping - northland (warkworth)_delivery,weight_based_shipping -  gisborne_delivery,weight_based_shipping -  manawatu- wanganui_delivery,weight_based_shipping -  wellington_delivery,"weight_based_shipping -  cantebury zone 1 (kaikoura, cheviot, amberley, woodend, rangiora, kaiapoi)_delivery","weight_based_shipping -  cantebury zone 2 (hanmer springs, temuka, ashburton,timaru, waimate, temuka)_delivery","weight_based_shipping -  christchurch (cantebury) incl. prebbleton, lincoln, rolleston_delivery","weight_based_shipping -  southland (invercargill, gore, winton, te anau)_delivery",weight_based_shipping -  west coast (springs junction)_delivery,weight_based_shipping -  west coast (others)_delivery,"weight_based_shipping -  otago (oamaru, lake hayes , waimate, palmerston, dunedin, mosgiel, milton , alexandra, cromwell, arrowtown, queenstown, wanaka)_delivery","weight_based_shipping -  tasman, nelson (richmond, tasman, wakefield, murchison, nelson)_delivery","weight_based_shipping -  marlborough (picton, blenheim, seddon, ward)_delivery"
1:8 Pagani Huayra Bc Bricks Assemble Car,97910,Idiya,165.62,21,234,60,60,8.5,40,40,40,40,40,8,15,40,40,40,40,40,40,28,28,28,35,28,35,35,25,25
3D Beige Color Pattern Wallpaper by IDIYA Ltd.,100.000.83,Idiya,29.58,8,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Brick Pattern Wallpaper,100.000.65,Idiya,29.58,9,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Brown Brick Pattern Wallpaper by IDIYA Ltd.,100.000.64,Idiya,29.58,11,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Brown Leather Cushion Pattern Wallpaper by IDIYA Ltd.,100.000.99,Idiya,29.58,6,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Cafe Kettels and Cutlery Pattern Wallpaper by IDIYA Ltd.,100.001.00,Idiya,29.58,16,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Dark Brown Color Pattern Wallpaper by IDIYA Ltd.,100.000.84,Idiya,29.58,12,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Dark Brown Wood Pattern Wallpaper by IDIYA Ltd.,100.000.86,Idiya,38.45,13,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Different Fur Pattern Wallpaper by IDIYA Ltd.,100.001.08,Idiya,29.58,19,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Different Size Light Beige Color Tiles Pattern Wallpapers by IDIYA Ltd.,100.001.11,Idiya,29.58,10,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
