area_orginal,area_code,delivery_method,areacode_charge,delivery_date
Athenree,3177,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Katikati,3178,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Ruatahuna,3079,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Toatoa,3197,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Waimana,3198,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Guthrie,3077,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Tikitere,3074,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Punaroma,3076,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Lower Kaimai,3171,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Omokoroa Beach,3172,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
