location,rules,weight-dl,operator,deliveryPrice
Shipping - Bay of Plenty,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping - Bay of Plenty,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping - Bay of Plenty,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping - Bay of Plenty,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping - Bay of Plenty,if weight < 20.00 then fixed price 45.00,20,<,45
Shipping - Bay of Plenty,if weight == 20.00 then fixed price 50.00,20,=,50
Shipping - Bay of Plenty,if weight < 25.00 then fixed price 50.00,25,<,50
Shipping - Bay of Plenty,if weight == 25.00 then fixed price 120.00,25,=,120
Shipping - Bay of Plenty,if weight < 80.00 then fixed price 120.00,80,<,120
Shipping - Bay of Plenty,if weight == 80.00 then fixed price 180.00,80,=,180
Shipping - Bay of Plenty,if weight < 120.00 then fixed price 180.00,120,<,180
Shipping - Bay of Plenty,if weight == 120.00 then fixed price 290.00,120,=,290
Shipping - Bay of Plenty,if weight < 240.00 then fixed price 290.00,240,<,290
Shipping - Waikato,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping - Waikato,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping - Waikato,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping - Waikato,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping - Waikato,if weight < 20.00 then fixed price 45.00,20,<,45
Shipping - Waikato,if weight == 20.00 then fixed price 50.00,20,=,50
Shipping - Waikato,if weight < 25.00 then fixed price 50.00,25,<,50
Shipping - Waikato,if weight == 25.00 then fixed price 80.00,25,=,80
Shipping - Waikato,if weight < 80.00 then fixed price 80.00,80,<,80
Shipping - Waikato,if weight == 80.00 then fixed price 110.00,80,=,110
Shipping - Waikato,if weight < 120.00 then fixed price 110.00,120,<,110
Shipping - Waikato,if weight == 120.00 then fixed price 200.00,120,=,200
Shipping - Waikato,if weight < 180.00 then fixed price 200.00,180,<,200
Shipping - Waikato,if weight == 180.00 then fixed price 280.00,180,=,280
Shipping - Waikato,if weight < 240.00 then fixed price 280.00,240,<,280
Shipping - Hawke's Bay,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping - Hawke's Bay,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping - Hawke's Bay,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping - Hawke's Bay,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping - Hawke's Bay,if weight < 20.00 then fixed price 45.00,20,<,45
